 Format                 IAGA-2002                                    |
 Source of Data         United States Geological Survey (USGS)       |
 Station Name           Boulder                                      |
 IAGA CODE              BOU                                          |
 Geodetic Latitude      40.137                                       |
 Geodetic Longitude     254.763                                      |
 Elevation              1682                                         |
 Reported               XYZF                                         |
 Sensor Orientation     HDZF                                         |
 Digital Sampling       0.01 second                                  |
 Data Interval Type     filtered 1-minute (00:15-01:45)              |
 Data Type              variation                                    |
 # DECBAS               5527                                         |
 #                                                                   |
 # Request: /ws/edge/?id=BOU&starttime=2018-01-17                    |
 # Request submitted: 2018-01-21T18:03:55Z                           |
 # Service URL: http://geomag.usgs.gov/ws/edge/                      |
 # Service version: 0.3.4                                            |
DATE       TIME         DOY     BOUX      BOUY      BOUZ      BOUF   |
2018-01-17 00:00:00.000 017     20571.18   3319.18  47104.62  52029.35
2018-01-17 00:01:00.000 017     20570.80   3319.67  47104.66  52029.25
2018-01-17 00:02:00.000 017     20571.24   3319.81  47104.67  52029.43
2018-01-17 00:03:00.000 017     20571.54   3319.82  47104.71  52029.59
2018-01-17 00:04:00.000 017     20571.24   3319.51  47104.84  52029.57
2018-01-17 00:05:00.000 017     20572.12   3319.30  47104.70  52029.80
2018-01-17 00:06:00.000 017     20571.76   3319.51  47104.69  52029.65
2018-01-17 00:07:00.000 017     20571.60   3319.73  47104.69  52029.60
2018-01-17 00:08:00.000 017     20571.40   3319.67  47104.75  52029.57
2018-01-17 00:09:00.000 017     20571.66   3319.54  47104.76  52029.68
2018-01-17 00:10:00.000 017     20571.75   3319.21  47104.75  52029.68
2018-01-17 00:11:00.000 017     20572.10   3319.43  47104.63  52029.72
2018-01-17 00:12:00.000 017     20571.56   3319.38  47104.73  52029.60
2018-01-17 00:13:00.000 017     20571.96   3319.14  47104.68  52029.69
2018-01-17 00:14:00.000 017     20572.06   3319.14  47104.62  52029.67
2018-01-17 00:15:00.000 017     20572.07   3319.44  47104.57  52029.65
2018-01-17 00:16:00.000 017     20572.04   3319.63  47104.57  52029.66
2018-01-17 00:17:00.000 017     20572.03   3319.76  47104.60  52029.68
2018-01-17 00:18:00.000 017     20572.22   3319.83  47104.57  52029.71
2018-01-17 00:19:00.000 017     20572.01   3320.13  47104.53  52029.61
2018-01-17 00:20:00.000 017     20571.22   3320.33  47104.61  52029.40
2018-01-17 00:21:00.000 017     20570.78   3320.59  47104.59  52029.23
2018-01-17 00:22:00.000 017     20570.87   3320.37  47104.66  52029.31
2018-01-17 00:23:00.000 017     20570.39   3320.05  47104.69  52029.14
2018-01-17 00:24:00.000 017     20570.53   3320.11  47104.54  52029.06
2018-01-17 00:25:00.000 017     20570.12   3320.16  47104.51  52028.88
2018-01-17 00:26:00.000 017     20569.98   3320.23  47104.53  52028.84
2018-01-17 00:27:00.000 017     20569.79   3320.07  47104.58  52028.80
2018-01-17 00:28:00.000 017     20569.89   3319.40  47104.63  52028.86
2018-01-17 00:29:00.000 017     20570.42   3318.63  47104.56  52028.95
2018-01-17 00:30:00.000 017     20570.61   3317.84  47104.51  52028.93
2018-01-17 00:31:00.000 017     20570.43   3317.33  47104.39  52028.74
2018-01-17 00:32:00.000 017     20570.49   3316.98  47104.29  52028.64
2018-01-17 00:33:00.000 017     20570.63   3316.98  47104.16  52028.57
2018-01-17 00:34:00.000 017     20570.24   3317.13  47104.12  52028.40
2018-01-17 00:35:00.000 017     20570.16   3317.03  47104.14  52028.39
2018-01-17 00:36:00.000 017     20570.31   3316.95  47104.11  52028.41
2018-01-17 00:37:00.000 017     20570.61   3316.87  47104.06  52028.47
2018-01-17 00:38:00.000 017     20570.58   3317.03  47103.98  52028.41
2018-01-17 00:39:00.000 017     20570.76   3317.38  47103.93  52028.44
2018-01-17 00:40:00.000 017     20571.05   3317.81  47103.89  52028.55
2018-01-17 00:41:00.000 017     20571.10   3318.10  47103.93  52028.62
2018-01-17 00:42:00.000 017     20570.97   3318.25  47104.01  52028.64
2018-01-17 00:43:00.000 017     20570.92   3318.43  47104.02  52028.64
2018-01-17 00:44:00.000 017     20571.19   3318.30  47104.05  52028.76
2018-01-17 00:45:00.000 017     20571.05   3318.16  47104.06  52028.71
2018-01-17 00:46:00.000 017     20571.10   3318.10  47104.05  52028.71
2018-01-17 00:47:00.000 017     20571.14   3318.25  47103.96  52028.66
2018-01-17 00:48:00.000 017     20570.96   3318.36  47103.98  52028.63
2018-01-17 00:49:00.000 017     20571.19   3318.56  47103.93  52028.67
2018-01-17 00:50:00.000 017     20571.16   3318.53  47103.99  52028.71
2018-01-17 00:51:00.000 017     20571.26   3318.49  47103.97  52028.73
2018-01-17 00:52:00.000 017     20571.35   3318.53  47103.95  52028.74
2018-01-17 00:53:00.000 017     20571.22   3318.50  47103.96  52028.71
2018-01-17 00:54:00.000 017     20571.35   3318.71  47103.86  52028.69
2018-01-17 00:55:00.000 017     20571.20   3318.87  47103.87  52028.65
2018-01-17 00:56:00.000 017     20571.15   3319.09  47103.87  52028.63
2018-01-17 00:57:00.000 017     20571.07   3319.23  47103.90  52028.64
2018-01-17 00:58:00.000 017     20571.18   3319.12  47103.90  52028.69
2018-01-17 00:59:00.000 017     20571.01   3319.16  47103.92  52028.63
2018-01-17 01:00:00.000 017     20570.88   3319.28  47103.91  52028.59
2018-01-17 01:01:00.000 017     20570.85   3319.29  47103.90  52028.57
2018-01-17 01:02:00.000 017     20570.82   3319.43  47103.86  52028.53
2018-01-17 01:03:00.000 017     20570.84   3319.34  47103.90  52028.57
